,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
0,Null,Фрэнк Дарабонт,США,«Пол Эджкомб не верил в чудеса. Пока не столкнулся с одним из них»,$30 000 000,Null,"Русский, Английский",Null,Дэвид Тэттерсолл,"6 декабря 1999, ...","Теренс Марш, Уильям Крус, Керин Вагнер, ...","Фрэнк Дарабонт, Стивен Кинг","18 апреля 2000, «West»",Null,Ричард Фрэнсис-Брюс,$136 801 374,Null,26 млн,"драма, фэнтези, криминал","13 февраля 2001, «West Video»",R,"Фрэнк Дарабонт, Дэвид Валдес",Томас Ньюман,Null,189 мин. / 03:09,16+,1999,Русские,Null,+ $150 000 000 = $286 801 374,$60 000 000,Null,"['Зеленая миля (1999)', 'The Green Mile16+']"
1,Null,Стивен Спилберг,США,«Этот список - жизнь»,Null,Null,"Русский, Английский",Null,Януш Камински,"30 ноября 1993, ...","Аллан Старски, Анна Б. Шеппард","Стивен Зеллиан, Томас Кенилли","21 мая 1994, «Ист-Вест»","11 апреля 2013, «Двадцатый Век Фокс СНГ»",Майкл Кан,$96 065 768,Null,23 млн,"драма, биография, история, военный","28 сентября 2004, «Premier Digital»",R,"Ирвинг Гловин, Кэтлин Кеннеди, Бранко Лустиг, ...",Джон Уильямс,Null,195 мин. / 03:15,16+,1993,Русские,Null,+ $225 240 537 = $321 306 305,$22 000 000,Null,"['Список Шиндлера (1993)', ""Schindler's List16+""]"
2,Null,Фрэнк Дарабонт,США,«Страх - это кандалы. Надежда - это свобода»,Null,Null,Null,Null,Роджер Дикинс,"10 сентября 1994, ...","Теренс Марш, Питер Лэндсдаун Смит, Элизабет МакБрайд, ...","Фрэнк Дарабонт, Стивен Кинг","24 октября 2019, «Иноекино»","27 августа 2009, «Союз-Видео»",Ричард Фрэнсис-Брюс,$28 341 469,Null,6.7 млн,драма,"1 сентября 1999, «Videogram»",R,"Лиз Глоцер, Дэвид В. Лестер, Ники Марвин",Томас Ньюман,Null,142 мин. / 02:22,16+,1994,Null,Null,+ $77 218 = $28 418 687,$25 000 000,$87 432,"['Побег из Шоушенка (1994)', 'The Shawshank Redemption16+']"
3,Null,Роберт Земекис,США,"«Мир уже никогда не будет прежним, после того как вы увидите его глазами Форреста Гампа»",Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дон Бёрджесс,"23 июня 1994, ...","Рик Картер, Лесли МакДональд, Уильям Джеймс Тигарден, ...","Эрик Рот, Уинстон Грум","13 февраля 2020, «Иноекино»",Null,Артур Шмидт,$329 694 499,Null,78.5 млн,"драма, комедия, мелодрама, история, военный","1 декабря 2009, «Юниверсал Пикчерс Рус»",PG-13,"Венди Файнерман, Стив Старки, Стив Тиш, ...",Алан Сильвестри,Null,142 мин. / 02:22,16+,1994,Русские,Null,+ $347 693 217 = $677 387 716,$55 000 000,$84 460,"['Форрест Гамп (1994)', 'Forrest Gump16+']"
4,Null,Питер Джексон,"Новая Зеландия, США",«There can be no triumph without loss. No victory without suffering. No freedom without sacrifice»,$50 000 000,Null,Null,Null,Эндрю Лесни,"1 декабря 2003, ...","Грант Мейджор, Джо Бликли, Саймон Брайт, ...","Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...","22 января 2004, «Каро-Премьер»","6 апреля 2010, «Юниверсал Пикчерс Рус»",Джэми Селкирк,$377 027 325,Null,61.9 млн,"фэнтези, приключения, драма","25 мая 2004, «Premier Digital»",PG-13,"Питер Джексон, Eric Monette, Барри М. Осборн, ...",Говард Шор,Null,201 мин. / 03:21,12+,2003,Null,"29 апреля 2021, «UPI»",+ $763 654 686 = $1 140 682 011,$94 000 000,$14 085 000,"['Властелин колец: Возвращение короля (2003)', 'The Lord of the Rings: The Return of the King12+']"
5,Null,"Ли Анкрич, Эдриан Молина",США,«The celebration of a lifetime»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1, Казахский, Казахский 5.1",Null,Null,"20 октября 2017, ...","Харли Джессуп, Берт Берри, Тим Эватт, ...","Ли Анкрич, Джейсон Кац, Мэттью Олдрич, ...","23 ноября 2017, «WDSSPR»","20 марта 2018, «Уолт Дисней Компани СНГ»","Стив Блум, Ли Анкрич",$209 726 015,"16 февраля 2018, «Уолт Дисней Компани СНГ»",Null,"мультфильм, фэнтези, комедия, приключения, семейный, музыка","20 марта 2018, «Уолт Дисней Компани СНГ»",PG,"Дарла К. Андерсон, Мэри Элис Драмм, Джон Лассетер",Майкл Джаккино,Null,105 мин. / 01:45,12+,2017,"Русские, Английские",Null,+ $597 356 181 = $807 082 196,$175 000 000,$9 788 410,"['Тайна Коко (2017)', 'Coco12+']"
6,Null,Роберт Земекис,США,«Семнадцатилетний Марти МакФлай пришел вчера домой пораньше. На 30 лет раньше»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Дин Канди,"3 июля 1985, ...","Лоуренс Дж. Полл, Тодд Халлоуэлл, Дебора Линн Скотт, ...","Роберт Земекис, Боб Гейл","27 июня 2013, «Другое кино»","2 ноября 2010, «Юниверсал Пикчерс Рус»","Гарри Керамидас, Артур Шмидт",$210 609 762,Null,59.1 млн,"фантастика, комедия, приключения","7 октября 2003, «Premier Digital»",PG,"Нил Кэнтон, Боб Гейл, Кэтлин Кеннеди, ...",Алан Сильвестри,Null,116 мин. / 01:56,12+,1985,Русские,"10 декабря 2020, «Иноекино»",+ $170 500 000 = $381 109 762,$19 000 000,Null,"['Назад в будущее (1985)', 'Back to the Future12+']"
7,Null,Кристофер Нолан,"США, Великобритания, Канада",«Следующий шаг человечества станет величайшим»,Null,Null,Null,Null,Хойте Ван Хойтема,"26 октября 2014, ...","Нэйтан Краули, Кенделл Эллиотт, Эггерт Кетилссон, ...","Джонатан Нолан, Кристофер Нолан","6 ноября 2014, «Каро-Премьер»","9 апреля 2015, «CP Дистрибуция»",Ли Смит,$188 020 017,Null,4.4 млн,"фантастика, драма, приключения","9 апреля 2015, «CP Дистрибуция»",PG-13,"Кристофер Нолан, Линда Обст, Эмма Томас, ...",Ханс Циммер,Null,169 мин. / 02:49,16+,2014,Null,Null,+ $489 876 780 = $677 896 797,$165 000 000,$26 192 066,"['Интерстеллар (2014)', 'Interstellar16+']"
8,Null,Питер Джексон,"Новая Зеландия, США",«Power can be held in the smallest of things...»,$50 000 000,Null,Null,Null,Эндрю Лесни,"10 декабря 2001, ...","Грант Мейджор, Джо Бликли, Дэн Хенна, ...","Фрэн Уолш, Филиппа Бойенс, Питер Джексон, ...","7 февраля 2002, «Каро-Премьер»","6 апреля 2010, «Юниверсал Пикчерс Рус»",Джон Гилберт,$313 364 114,Null,54.6 млн,"фэнтези, приключения, драма","3 декабря 2002, «Premier Digital»",PG-13,"Питер Джексон, Барри М. Осборн, Тим Сандерс, ...",Говард Шор,Null,178 мин. / 02:58,12+,2001,Null,"15 апреля 2021, «UPI»",+ $567 475 732 = $880 839 846,$93 000 000,$7 179 834,"['Властелин колец: Братство Кольца (2001)', 'The Lord of the Rings: The Fellowship of the Ring12+']"
9,Null,Питер Джексон,"Новая Зеландия, США",«Приключение продолжается»,$45 000 000,Null,Null,Null,Эндрю Лесни,"5 декабря 2002, ...","Грант Мейджор, Джо Бликли, Дэн Хенна, ...","Фрэн Уолш, Филиппа Бойенс, Стивен Синклер, ...","22 января 2003, «Каро-Премьер»","6 апреля 2010, «Юниверсал Пикчерс Рус»",Майкл Хортон,$339 789 881,Null,57.6 млн,"фэнтези, приключения, драма","28 августа 2003, «Premier Digital»",PG-13,"Питер Джексон, Eric Monette, Барри М. Осборн, ...",Говард Шор,Null,179 мин. / 02:59,12+,2002,Null,"22 апреля 2021, «UPI»",+ $596 899 854 = $936 689 735,$94 000 000,$9 400 000,"['Властелин колец: Две крепости (2002)', 'The Lord of the Rings: The Two Towers12+']"
10,Null,Квентин Тарантино,США,«Just because you are a character doesn't mean you have character»,Null,Null,"Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Русский 5.1 (Кубик в Кубе 18+), Английский, Английский 5.1",Null,Анджей Секула,"21 мая 1994, ...","Дэвид Уоско, Чарльз Коллам, Бетси Хайман, ...","Квентин Тарантино, Роджер Эвери","29 сентября 1995, «Аргус-СВ»","11 сентября 2013, «Кармен Видео»",Салли Менке,$107 928 762,Null,25.4 млн,"криминал, драма","31 января 2002, «West Video»",R,"Лоуренс Бендер, Дэнни ДеВито, Ричард Н. Гладштейн, ...",—,Null,154 мин. / 02:34,18+,1994,Русские,"27 декабря 2012, «Каравелла DDC»",+ $106 000 000 = $213 928 762,$8 000 000,$83 843,"['Криминальное чтиво (1994)', 'Pulp Fiction18+']"
